Functional,Property,MAE,MARE (%),MAX (%),RMSE
wB97M-D4,Cohesive Energy,0.1142,2.23,4.76,0.1402
PBE,Cohesive Energy,0.1858,4.11,8.25,0.1987
SCAN,Cohesive Energy,0.0625,1.43,3.37,0.0764
HSE06,Cohesive Energy,0.1658,3.88,7.25,0.1855
wB97M-D4,Lattice Constant,0.0217,0.47,1.05,0.0258
PBE,Lattice Constant,0.0619,1.32,2.56,0.0707
SCAN,Lattice Constant,0.0108,0.22,0.63,0.014
HSE06,Lattice Constant,0.0249,0.51,1.29,0.0318
wB97M-D4,Bulk Modulus,10.7417,6.88,15.46,15.9107
PBE,Bulk Modulus,11.5917,10.65,19.3,12.9349
SCAN,Bulk Modulus,2.3333,2.33,13.47,3.4283
HSE06,Bulk Modulus,4.5667,4.54,15.44,5.7372
