Solid,Cohesive Energy (Lightdense 5),D4 Correction (eV/atom),Cohesive Energy + D4 (eV/atom)
C,-7.2308,-0.21270717178669654,-7.443507171786697
AlP,-4.01753,-0.19440554980487054,-4.2119355498048705
BN,-6.62099,-0.23508275606338297,-6.856072756063383
BP,-4.959,-0.25820706546948136,-5.217207065469481
LiCl,-3.63034,-0.09466695363987679,-3.725006953639877
LiF,-4.48568,-0.0640537341540836,-4.549733734154084
MgO,-4.8913,-0.13998886789107243,-5.031288867891073
MgS,-3.67567,-0.1876554323487435,-3.8633254323487436
NaCl,-3.27381,-0.0720124047556341,-3.3458224047556344
NaF,-3.89858,-0.044323549348797016,-3.942903549348797
Si,-4.30532,-0.1949736999111555,-4.500293699911156
SiC,-6.1443,-0.23267866557665698,-6.376978665576657
