system,method,binding_energy_eV,cc_binding_energy_eV,absolute_error_eV
AlH3PH3,wB97M,-0.7015269888383493,-0.8151885383118032,0.11366154947345386
AlH3PH3,wB97M-D4,-0.8249233123572921,-0.8151885383118032,0.009734774045488948
AlH3PH3,HSE06,-0.842059339854055,-0.8151885383118032,0.026870801542251854
AlH3PH3,HSE06-D4,-0.9448848558679579,-0.8151885383118032,0.12969631755615474
AlH3PH3,R2SCAN,-0.891586524671288,-0.8151885383118032,0.0763979863594848
AlH3PH3,R2SCAN-D4,-0.9224871544609066,-0.8151885383118032,0.10729861614910341
AlH3PH3,PBE,-0.8322785250970259,-0.8151885383118032,0.017089986785222777
AlH3PH3,PBE-D4,-0.9620927223503539,-0.8151885383118032,0.14690418403855077
BH3PH3,wB97M,-1.5510735503673736,-1.6428366726172676,0.09176312224989402
BH3PH3,wB97M-D4,-1.6804325335463979,-1.6428366726172676,0.037595860929130254
BH3PH3,HSE06,-1.8122395385953816,-1.6428366726172676,0.16940286597811394
BH3PH3,HSE06-D4,-1.8965114488888233,-1.6428366726172676,0.25367477627155566
BH3PH3,R2SCAN,-1.8715067395104583,-1.6428366726172676,0.2286700668931907
BH3PH3,R2SCAN-D4,-1.897227397094035,-1.6428366726172676,0.25439072447676736
BH3PH3,PBE,-1.8732321688298086,-1.6428366726172676,0.23039549621254096
BH3PH3,PBE-D4,-1.9837957916015405,-1.6428366726172676,0.3409591189842729
BH3NH3,wB97M,-1.8764738252647248,-1.9637804024866448,0.08730657722191992
BH3NH3,wB97M-D4,-1.9863876600274502,-1.9637804024866448,0.022607257540805392
BH3NH3,HSE06,-2.037457206534242,-1.9637804024866448,0.07367680404759724
BH3NH3,HSE06-D4,-2.090930179298031,-1.9637804024866448,0.12714977681138606
BH3NH3,R2SCAN,-2.058858285145048,-1.9637804024866448,0.09507788265840311
BH3NH3,R2SCAN-D4,-2.075973999138622,-1.9637804024866448,0.11219359665197715
BH3NH3,PBE,-2.037816792164543,-1.9637804024866448,0.07403638967789838
BH3NH3,PBE-D4,-2.1099198583342087,-1.9637804024866448,0.14613945584756394
C2H6,wB97M,-4.985196282377487,-5.016070781194024,0.030874498816537255
C2H6,wB97M-D4,-5.103326073265389,-5.016070781194024,0.08725529207136518
C2H6,HSE06,-4.888749066478589,-5.016070781194024,0.12732171471543552
C2H6,HSE06-D4,-4.942895919681867,-5.016070781194024,0.07317486151215746
C2H6,R2SCAN,-4.669165331816949,-5.016070781194024,0.34690544937707557
C2H6,R2SCAN-D4,-4.686817245936901,-5.016070781194024,0.32925353525712353
C2H6,PBE,-4.9610865948998395,-5.016070781194024,0.05498418629418467
C2H6,PBE-D4,-5.034329522853611,-5.016070781194024,0.01825874165958652
