system,method,equilibrium_distance_A,minimum_binding_energy_eV,spring_constant_N_m
BH3NH3,Coupled cluster,1.6447716390312652,-1.9666,224.92918672324814
BH3NH3,HSE06,1.648530415904893,-2.021462622694912,210.67304372384626
BH3NH3,HSE06-D4,1.6484577975337633,-2.074931601499946,210.53887301184926
BH3NH3,PBE,1.6587115265299202,-2.031671550757485,200.3637706930759
BH3NH3,PBE-D4,1.6584753137492045,-2.1037630696598306,200.2395666410286
BH3NH3,R2SCAN,1.6551425971756533,-2.0344065574353216,212.17547337169512
BH3NH3,R2SCAN-D4,1.655159622658526,-2.0515232251008584,212.12653609007
BH3NH3,wB97M,1.6609024664244894,-1.8653799519443428,201.19440520180692
BH3NH3,wB97M-D4,1.659797390077593,-1.975233030722631,201.19597397716035
BH3PH3,Coupled cluster,1.9222408370210755,-1.6476,180.95300143509704
BH3PH3,HSE06,1.9170997292643255,-1.8018301683748987,185.3319291989411
BH3PH3,HSE06-D4,1.9162873224102899,-1.886277315757777,196.04338735155872
BH3PH3,PBE,1.9203835201385018,-1.8619141867295035,187.5395584943724
BH3PH3,PBE-D4,1.9191249047838144,-1.9722389242194005,187.73594204397713
BH3PH3,R2SCAN,1.9136380423704116,-1.8553368112759188,195.81870709438303
BH3PH3,R2SCAN-D4,1.9135105484489794,-1.8810539506181705,195.8454615353959
BH3PH3,wB97M,1.9345154228937693,-1.5427157756853092,172.19968410135272
BH3PH3,wB97M-D4,1.932169341905306,-1.6720157029787188,172.30935365197575
C2H6,Coupled cluster,1.522693603156206,-5.0087,468.5829302618693
C2H6,HSE06,1.5199174797280552,-4.883581392472454,464.5370413447135
C2H6,HSE06-D4,1.5198002127093615,-4.937731510878066,464.64053635960073
C2H6,PBE,1.5312401282646804,-4.952031507453793,434.5122826218518
C2H6,PBE-D4,1.5310000725135084,-5.025275858810787,434.68299668065146
C2H6,R2SCAN,1.5236535138780518,-4.657794707405081,458.91806957577546
C2H6,R2SCAN-D4,1.5236353797708606,-4.675447202858404,458.9402285636142
C2H6,wB97M,1.5251147501637998,-4.971557813867594,469.521012325117
C2H6,wB97M-D4,1.5244423218009044,-5.089702075293584,469.8740845804132
CH3SiH3,Coupled cluster,1.8649562606323435,-4.4516,314.35228674950463
CH3SiH3,HSE06,1.8743247999573227,-4.2263917670472,303.40067151670803
CH3SiH3,HSE06-D4,1.8738904379349701,-4.304143932990417,303.44323295645654
CH3SiH3,PBE,1.8872157780553993,-4.237534482462259,274.09129571094627
CH3SiH3,PBE-D4,1.8864094770059177,-4.339218408611934,274.134146448402
CH3SiH3,R2SCAN,1.8737431779411713,-4.104446277061484,300.73604248137735
CH3SiH3,R2SCAN-D4,1.8736618314411149,-4.1283834918807685,300.73740446086407
CH3SiH3,wB97M,1.8734228056126643,-4.407375272018037,307.1128448903911
CH3SiH3,wB97M-D4,1.8720706156384894,-4.529159543636688,307.05977884573963
LiCl,Coupled cluster,2.021201987916378,-4.9812,143.81120363193565
LiCl,HSE06,2.0335198895071818,-4.703224515204047,145.86154887078294
LiCl,HSE06-D4,2.0335229846920457,-4.71334397105332,145.85482489339103
LiCl,PBE,2.03594343330931,-4.743857360800844,144.80124898733308
LiCl,PBE-D4,2.035934658063375,-4.756659015518146,144.7975314488767
LiCl,R2SCAN,2.0445604622358062,-4.832795772229304,142.93883793136638
LiCl,R2SCAN-D4,2.044564778905354,-4.835186968542317,142.9354546476065
LiCl,wB97M,2.0372963806744493,-4.912043039316568,141.03692987409826
LiCl,wB97M-D4,2.037299793770281,-4.918802592456419,141.03054205962528
