Solid,Number of Atoms,Bulk FHI-aims Energy (eV/cell),Bulk D4 Correction (eV/cell),D4 Correction (eV/atom),D4-Corrected Bulk Energy (eV/cell),Isolated Atom Energy Sum (eV/cell),Cohesive Energy with D4 (eV/atom)
C,8,-8295.71701300514,-1.7016573742935723,-0.21270717178669654,-8297.418670379433,-8233.89386462992,-7.940600718689211
AlP,8,-63746.411885791,-1.5552443984389643,-0.19440554980487054,-63747.96713018944,-63713.47524389816,-4.3114857864102305
BN,8,-8676.95978625609,-1.880662048507063,-0.23508275606338289,-8678.840448304596,-8621.401749730816,-7.179837321722516
BP,8,-39993.6311498134,-2.0656565237558513,-0.2582070654694814,-39995.69680633716,-39951.177145741334,-5.564957574478285
LiCl,8,-51150.1177457101,-0.7573356291190144,-0.0946669536398768,-51150.87508133922,-51123.09187016165,-3.4729013971964378
LiF,8,-11711.6652338639,-0.5124298732326688,-0.0640537341540836,-11712.177663737133,-11677.04888723964,-4.391097062186645
MgO,8,-30032.2139448637,-1.1199109431285794,-0.13998886789107243,-30033.333855806828,-29992.411649967242,-5.11527572994828
MgS,8,-65351.2177857467,-1.5012434587899477,-0.18765543234874346,-65352.719029205495,-65321.47343397644,-3.905699403631843
NaCl,8,-68024.1441069675,-0.5760992380450728,-0.0720124047556341,-68024.72020620554,-67999.28122336749,-3.179872854756468
NaF,8,-28583.8303793562,-0.3545883947903761,-0.044323549348797016,-28584.184967750993,-28553.238240445484,-3.8683409131886037
Si,8,-63210.7704887297,-1.559789599289244,-0.1949736999111555,-63212.33027832899,-63174.22189025928,-4.763548508713939
SiC,8,-35755.3476321955,-1.861429324613257,-0.23267866557665712,-35757.209061520116,-35704.0578774446,-6.6438980094399085
