Solid,Number of Atoms,Bulk FHI-aims Energy (eV/cell),Isolated Atom Energy Sum (eV/cell),Cohesive Energy (eV/atom)
C,8,-8295.71701300514,-8233.89386462992,-7.727893546902578
AlP,8,-63746.411885791,-63713.47524389816,-4.117080236605034
BN,8,-8676.95978625609,-8621.401749730816,-6.944754565659196
BP,8,-39993.6311498134,-39951.177145741334,-5.306750509008452
LiCl,8,-51150.1177457101,-51123.09187016165,-3.378234443556721
LiF,8,-11711.6652338639,-11677.04888723964,-4.32704332803246
MgO,8,-30032.2139448637,-29992.411649967242,-4.975286862057146
MgS,8,-65351.2177857467,-65321.47343397644,-3.7180439712828957
NaCl,8,-68024.1441069675,-67999.28122336749,-3.107860450001681
NaF,8,-28583.8303793562,-28553.238240445484,-3.82401736383963
Si,8,-63210.7704887297,-63174.22189025928,-4.568574808802623
SiC,8,-35755.3476321955,-35704.0578774446,-6.411219343863195
