Potential,Property,MAE,MARE (%),MAX (%),RMSD
MACE-MP-0,Lattice Constant (Å),0.0546,1.09,2.77,0.071
MACE-MP-0,Bulk Modulus (GPa),15.3956,15.1,107.11,21.9427
MACE-MP-0,Cohesive Energy (eV/atom),0.4384,12.84,85.32,0.5754
MACE-MPA-0,Lattice Constant (Å),0.0571,1.15,3.05,0.0731
MACE-MPA-0,Bulk Modulus (GPa),16.1447,14.34,101.01,21.4754
MACE-MPA-0,Cohesive Energy (eV/atom),0.2104,5.07,44.27,0.2981
MACE-MATPES-r2SCAN-0,Lattice Constant (Å),0.0387,0.78,2.02,0.0482
MACE-MATPES-r2SCAN-0,Bulk Modulus (GPa),14.5954,10.06,37.7,22.8047
MACE-MATPES-r2SCAN-0,Cohesive Energy (eV/atom),0.1844,4.53,44.97,0.3061
MACE-OMAT-0,Lattice Constant (Å),0.0647,1.26,12.17,0.1119
MACE-OMAT-0,Bulk Modulus (GPa),13.6719,12.67,84.17,20.0692
MACE-OMAT-0,Cohesive Energy (eV/atom),0.2217,5.72,37.12,0.2944
