Solid,Lattice Constant (Å),Bulk Modulus (GPa),Cohesive Energy (eV/atom),Structures
Li,3.477,12.8,-1.63,bcc
Na,4.225,7.5,-1.11,bcc
K,5.225,3.7,-0.93,bcc
Rb,5.585,3.1,-0.85,bcc
Ca,5.565,18.4,-1.84,fcc
Sr,6.048,12.4,-1.72,fcc
Ba,5.007,9.3,-1.9,bcc
Al,4.032,79.4,-3.39,fcc
Pb,4.905,48.8,-2.03,fcc
Fe,2.861,173,-4.28,bcc
V,3.028,157,-5.31,bcc
Mo,3.144,265.3,-6.82,bcc
W,3.162,314.2,-8.9,bcc
Nb,3.296,174,-7.57,bcc
Ta,3.301,194.2,-8.09,bcc
Ni,3.513,187.6,-4.44,fcc
Cu,3.603,142.3,-3.49,fcc
Rh,3.798,268.7,-5.75,fcc
Ir,3.835,383,-6.94,fcc
Pd,3.881,195,-3.89,fcc
Pt,3.916,277,-5.84,fcc
Ag,4.069,110.9,-2.95,fcc
Au,4.065,180.9,-3.81,fcc
Th,5.074,57.7,-6.2,fcc
LiF,4.01,69.8,-4.4,rocksalt
LiCl,5.106,35.4,-3.55,rocksalt
NaF,4.609,51.4,-3.93,rocksalt
NaCl,5.595,28.5,-3.33,rocksalt
MgO,4.207,168.8,-5.12,rocksalt
MgS,5.202,78.9,-4,rocksalt
TiC,4.33,244,-7.16,rocksalt
ZrC,4.696,226,-7.93,rocksalt
HfC,4.638,275,-8.11,rocksalt
VC,4.16,303,-6.94,rocksalt
NbC,4.47,302,-8.26,rocksalt
TiN,4.239,289,-6.69,rocksalt
ZrN,4.585,215,-7.52,rocksalt
HfN,4.519,306,-8.03,rocksalt
VN,4.135,268,-6.25,rocksalt
NbN,4.379,292,-7.5,rocksalt
C,3.567,443,-7.37,diamond
Si,5.43,99.2,-4.63,diamond
Ge,5.652,75.8,-3.87,diamond
Sn,6.482,53,-3.14,diamond
AlP,5.458,86,-4.26,zincblende
AlAs,5.652,78.1,-3.78,zincblende
AlSb,6.128,59.3,-3.3,zincblende
BN,3.607,378,-6.6,zincblende
BP,4.538,173,-5.04,zincblende
BAs,4.777,148,-4.7,zincblende
GaN,4.52,200,-4.48,zincblende
GaP,5.442,88.7,-3.56,zincblende
GaAs,5.641,76.9,-3.31,zincblende
GaSb,6.082,56.3,-3,zincblende
InP,5.861,72.5,-3.43,zincblende
InAs,6.036,58,-3.05,zincblende
InSb,6.469,46.5,-2.79,zincblende
SiC,4.358,225,-6.36,zincblende
ZnS,5.404,77.2,-3.17,zincblende
ZnSe,5.668,64.7,-2.63,zincblende
ZnTe,6.104,52.8,-2.41,zincblende
CdS,5.818,64.3,-2.78,zincblende
CdSe,6.05,55,-2.46,zincblende
CdTe,6.48,44.5,-2.23,zincblende
