Element,Structure,Lattice Constant (Å),Bulk Modulus (GPa),Cohesive Energy (eV/atom)
Li,bcc,3.417167407565562,17.626086767664958,-1.6034613806703608
Na,bcc,4.165627494056198,6.406298646953902,-1.0687434134184293
K,bcc,5.302514369575521,3.8111052921501307,-0.8421275073991534
Rb,bcc,5.639865755725066,3.442167523808423,-0.726585968042901
Ca,fcc,5.5977061216158095,18.559992833409446,-2.063753178874574
Sr,fcc,6.141873512551175,12.324912016410547,-1.8214478859121073
Ba,bcc,5.015271721054633,11.883208040685915,-2.033834881198551
Al,fcc,3.9897288775525537,65.77795808973495,-3.5852186743015317
Pb,fcc,5.004178298262535,48.16451922738532,-2.9429034436291275
Fe,bcc,2.865612279419987,193.3319314598374,-4.690510986592967
V,bcc,3.000472658512025,178.98780779451542,-4.733384966910101
Mo,bcc,3.1355518244832825,286.3470731633196,-5.605673373328258
W,bcc,3.159915036274904,330.4896321371954,-7.918347683772346
Nb,bcc,3.313616273489512,158.18039496956337,-7.06112667894649
Ta,bcc,3.3114960499001582,207.86274846714443,-8.153991872536722
Ni,fcc,3.4844561882826395,214.04769532190747,-4.6182279271877755
Cu,fcc,3.574477497121475,165.80263303600432,-3.875430084425801
Rh,fcc,3.825693982478978,300.6370711899725,-5.77824819254775
Ir,fcc,3.8531048755625883,459.1858729141714,-7.058947657399358
Pd,fcc,3.921499505713391,165.25417928204465,-4.177079577598747
Pt,fcc,3.9276040310450764,232.04999527400514,-5.676216324534636
Ag,fcc,4.102307209758841,96.52387341579573,-2.868374150430661
Au,fcc,4.135260318086234,145.33143480992143,-3.409971314502428
Th,fcc,5.02062009537869,60.57396037829962,-6.256697171783614
LiF,rocksalt,3.961345150154704,72.7101824489944,-4.4346939580725255
LiCl,rocksalt,5.061567603558982,41.92874861878141,-3.497963626926012
NaF,rocksalt,4.561521846534033,55.463189571716185,-3.934158027194741
NaCl,rocksalt,5.539651420773827,28.494433210330083,-3.241925074633418
MgO,rocksalt,4.18604913108213,162.97967278638401,-5.197351632144567
MgS,rocksalt,5.191649296864454,78.19148302541241,-3.977243560974574
TiC,rocksalt,4.353032372826476,292.07073137819634,-7.25870716696946
ZrC,rocksalt,4.728261470007253,257.1892682004867,-7.8614696093902605
HfC,rocksalt,4.653494220906184,274.3040401841223,-8.128209408830756
VC,rocksalt,4.127300834129024,319.15724404102014,-6.6458940325334375
NbC,rocksalt,4.474313926334056,302.1931393450566,-7.816290318632692
TiN,rocksalt,4.188337220734994,281.1792575270557,-6.806934635788091
ZrN,rocksalt,4.547658652968666,282.4828370646229,-7.413421458614973
HfN,rocksalt,4.477296365306882,315.71603448818837,-7.537693865293441
VN,rocksalt,4.122826107333656,209.49054402895732,-5.862389152637695
NbN,rocksalt,4.408028864353495,265.3615858321973,-6.834522029719652
C,diamond,3.57803369143365,381.72628637658045,-7.399578697878557
Si,diamond,5.436855008522381,85.61726266258084,-4.687151941743949
Ge,diamond,5.644966902000285,72.95403308096284,-3.856761443343661
Sn,diamond,6.525626854717183,33.43578383705998,-3.2916499367637044
AlP,zincblende,5.515820650081121,88.75386743763002,-4.267493115076095
AlAs,zincblende,5.716260479516287,69.98114348041395,-3.8554888716625317
AlSb,zincblende,6.218247463288505,59.48002700072696,-3.3476216138142227
BN,zincblende,3.6028886177152373,389.35900429494166,-6.774206041371489
BP,zincblende,4.512937565969997,179.76460753486793,-5.107650051011776
BAs,zincblende,4.79351226256119,179.6725833575965,-4.616510083664271
GaN,zincblende,4.514678183624474,189.48951790025941,-4.417327440842321
GaP,zincblende,5.470179278028052,81.9701824845592,-3.631838352943335
GaAs,zincblende,5.697497605994315,72.94412024637761,-3.3034688348077506
GaSb,zincblende,6.1898151849301755,51.52101820533916,-2.927317926534048
InP,zincblende,5.9220905383520694,64.00292255559724,-3.27676365482564
InAs,zincblende,6.131700457693757,58.61375938729157,-3.0250498876184793
InSb,zincblende,6.564704231825432,44.8234474706118,-2.7380370376064356
SiC,zincblende,4.361649435538827,235.41229275881503,-6.417803488548746
ZnS,zincblende,5.402429201104581,73.72485678681974,-3.1575761690710795
ZnSe,zincblende,5.68370114683873,62.78199387094071,-2.827316801724715
ZnTe,zincblende,6.124446699760112,47.209203725249104,-2.4267102028607184
CdS,zincblende,5.8912820960981245,58.675891548759886,-2.7774960943784546
CdSe,zincblende,6.143121263945058,53.071992274992674,-2.5420355862204076
CdTe,zincblende,6.554979051855328,38.90572604146269,-2.2218931506634867
