Element,Structure,Lattice Constant (Å),Bulk Modulus (GPa),Cohesive Energy (eV/atom)
Li,bcc,3.49195376705568,12.58674288876819,-0.9852943773065861
Na,bcc,4.194510399367935,8.093311870555013,-0.7871270819972054
K,bcc,5.208300561081537,6.424841607945819,-0.318777741701354
Rb,bcc,5.592578796815559,2.8468030971250555,-0.12480425777146853
Ca,fcc,5.497621412523648,20.38704688791286,-1.8052172436436167
Sr,fcc,6.016151588461853,16.817448037500338,-1.5526208477014518
Ba,bcc,4.985069147794308,19.26137792145781,-1.6696980467646867
Al,fcc,4.058920888303767,66.56686548488344,-3.034358371106907
Pb,fcc,5.026930765172773,41.24261507843604,-2.4004802875733016
Fe,bcc,2.8436926879462368,94.19694586625668,-4.499233826926398
V,bcc,2.9997795056257712,180.21926372844308,-4.73118401499287
Mo,bcc,3.1724817793834945,261.16731334345513,-6.065628355771018
W,bcc,3.192995657815107,256.3622964675485,-7.674554468071514
Nb,bcc,3.312919408178344,160.5968580133049,-6.862509672543672
Ta,bcc,3.314019878725353,204.6258792963241,-8.291000772415025
Ni,fcc,3.5100040402940613,214.64105250911018,-4.214140854860979
Cu,fcc,3.6257808671503584,143.31832747876075,-3.1562673756233224
Rh,fcc,3.8487670464258055,245.44255166159357,-5.243085988481451
Ir,fcc,3.885087221353964,327.11160175673194,-6.462196576390344
Pd,fcc,3.958678594118735,167.55216249964843,-3.476022746322531
Pt,fcc,3.974212204090643,228.3189606676268,-4.4119526466624635
Ag,fcc,4.166667575613432,86.60144472834342,-2.25536670411351
Au,fcc,4.176161502158796,131.26938194626118,-1.577697642307899
Th,fcc,5.021828916304062,53.73823494370273,-5.398052524048943
LiF,rocksalt,4.092712770310458,58.73896670807023,-3.228170375629473
LiCl,rocksalt,5.129975961698905,32.88886493294753,-2.5834689985808557
NaF,rocksalt,4.69751727045305,46.617724767489925,-2.909141322332103
NaCl,rocksalt,5.683596087064718,25.614149310911344,-2.4828035195392
MgO,rocksalt,4.254191006670186,149.42950173548545,-4.9410547724675
MgS,rocksalt,5.218840429366594,78.08116012598695,-3.6970010982859804
TiC,rocksalt,4.333621445392432,260.8826279526968,-7.133716116391481
ZrC,rocksalt,4.712600610861173,228.79994657054445,-7.53599913860261
HfC,rocksalt,4.652406550640469,242.51124340746117,-7.9410847872245265
VC,rocksalt,4.162225824774104,334.5501352633477,-6.53985697739559
NbC,rocksalt,4.506582955769452,285.7210022808227,-7.66639473046085
TiN,rocksalt,4.247289811356234,273.28950636895274,-6.95761981331308
ZrN,rocksalt,4.609637362089315,245.27033946895517,-7.320876962918007
HfN,rocksalt,4.532643391060123,304.6134663620912,-7.674093267091349
VN,rocksalt,4.1181030116213595,263.73611406905883,-6.01544608730665
NbN,rocksalt,4.447659125860679,291.6290574844746,-7.002482053561536
C,diamond,3.572212035700808,455.97486543212057,-7.382794888067535
Si,diamond,5.4560007486549695,74.44106741600548,-4.054408435674941
Ge,diamond,5.773416969553299,50.13983887979713,-3.4129930585221864
Sn,diamond,6.612796765315125,45.85365593971284,-2.668555387000662
AlP,zincblende,5.516222802326954,80.23152980892071,-3.9279596881172485
AlAs,zincblende,5.728592380986456,64.49471900843011,-3.6158797918231933
AlSb,zincblende,6.220068008486746,51.080049715512956,-3.169850485537946
BN,zincblende,3.6267926949376994,400.6429111251603,-6.8717130473169625
BP,zincblende,4.540903871042707,153.08653505039482,-5.145644904214676
BAs,zincblende,4.805902019035507,149.6830485054222,-4.642248240201006
GaN,zincblende,4.534049552795445,185.33215709019692,-4.259094564948977
GaP,zincblende,5.5126933493163115,69.78605199939419,-3.2741305980643807
GaAs,zincblende,5.739783669865298,50.09598529220394,-3.0463035706654016
GaSb,zincblende,6.223002335073807,38.27769051984398,-2.727287504644443
InP,zincblende,5.959407103695443,61.9270800070462,-2.9603488213921882
InAs,zincblende,6.190392614036333,42.28500353481103,-2.798375035276159
InSb,zincblende,6.632694197238061,41.04084943715034,-2.582707434120165
SiC,zincblende,4.376563169630177,221.88482808578408,-6.052207681431376
ZnS,zincblende,5.447117909752568,65.65264340619116,-2.895789583657724
ZnSe,zincblende,5.735226559140539,59.31010655571583,-2.577084222337208
ZnTe,zincblende,6.180625505739348,47.38923361914153,-2.130302129617457
CdS,zincblende,5.945262999951956,52.048698904527576,-2.5355855989502993
CdSe,zincblende,6.2178793169034305,45.23128590016926,-2.295339538663506
CdTe,zincblende,6.6184232844325575,42.21320548583673,-1.9367757424439203
