Element   Structure      Lattice Å    Bulk GPa    Cohesive eV
-------------------------------------------------------------
Li        bcc               3.4920       12.59        -0.9853
Na        bcc               4.1945        8.09        -0.7871
K         bcc               5.2083        6.42        -0.3188
Rb        bcc               5.5926        2.85        -0.1248
Ca        fcc               5.4976       20.39        -1.8052
Sr        fcc               6.0162       16.82        -1.5526
Ba        bcc               4.9851       19.26        -1.6697
Al        fcc               4.0589       66.57        -3.0344
Pb        fcc               5.0269       41.24        -2.4005
Fe        bcc               2.8437       94.20        -4.4992
V         bcc               2.9998      180.22        -4.7312
Mo        bcc               3.1725      261.17        -6.0656
W         bcc               3.1930      256.36        -7.6746
Nb        bcc               3.3129      160.60        -6.8625
Ta        bcc               3.3140      204.63        -8.2910
Ni        fcc               3.5100      214.64        -4.2141
Cu        fcc               3.6258      143.32        -3.1563
Rh        fcc               3.8488      245.44        -5.2431
Ir        fcc               3.8851      327.11        -6.4622
Pd        fcc               3.9587      167.55        -3.4760
Pt        fcc               3.9742      228.32        -4.4120
Ag        fcc               4.1667       86.60        -2.2554
Au        fcc               4.1762      131.27        -1.5777
Th        fcc               5.0218       53.74        -5.3981
LiF       rocksalt          4.0927       58.74        -3.2282
LiCl      rocksalt          5.1300       32.89        -2.5835
NaF       rocksalt          4.6975       46.62        -2.9091
NaCl      rocksalt          5.6836       25.61        -2.4828
MgO       rocksalt          4.2542      149.43        -4.9411
MgS       rocksalt          5.2188       78.08        -3.6970
TiC       rocksalt          4.3336      260.88        -7.1337
ZrC       rocksalt          4.7126      228.80        -7.5360
HfC       rocksalt          4.6524      242.51        -7.9411
VC        rocksalt          4.1622      334.55        -6.5399
NbC       rocksalt          4.5066      285.72        -7.6664
TiN       rocksalt          4.2473      273.29        -6.9576
ZrN       rocksalt          4.6096      245.27        -7.3209
HfN       rocksalt          4.5326      304.61        -7.6741
VN        rocksalt          4.1181      263.74        -6.0154
NbN       rocksalt          4.4477      291.63        -7.0025
C         diamond           3.5722      455.97        -7.3828
Si        diamond           5.4560       74.44        -4.0544
Ge        diamond           5.7734       50.14        -3.4130
Sn        diamond           6.6128       45.85        -2.6686
AlP       zincblende        5.5162       80.23        -3.9280
AlAs      zincblende        5.7286       64.49        -3.6159
AlSb      zincblende        6.2201       51.08        -3.1699
BN        zincblende        3.6268      400.64        -6.8717
BP        zincblende        4.5409      153.09        -5.1456
BAs       zincblende        4.8059      149.68        -4.6422
GaN       zincblende        4.5340      185.33        -4.2591
GaP       zincblende        5.5127       69.79        -3.2741
GaAs      zincblende        5.7398       50.10        -3.0463
GaSb      zincblende        6.2230       38.28        -2.7273
InP       zincblende        5.9594       61.93        -2.9603
InAs      zincblende        6.1904       42.29        -2.7984
InSb      zincblende        6.6327       41.04        -2.5827
SiC       zincblende        4.3766      221.88        -6.0522
ZnS       zincblende        5.4471       65.65        -2.8958
ZnSe      zincblende        5.7352       59.31        -2.5771
ZnTe      zincblende        6.1806       47.39        -2.1303
CdS       zincblende        5.9453       52.05        -2.5356
CdSe      zincblende        6.2179       45.23        -2.2953
CdTe      zincblende        6.6184       42.21        -1.9368
