Element,Lattice Constant (Å),Bulk Modulus (GPa),Cohesive Energy (eV/atom)
Li,bcc,3.427183578127955,16.487081087959623,-1.6104925819876938
Na,bcc,4.183799165917212,7.4197841673737575,-1.0790384242428743
K,bcc,5.30985837939825,4.319648548083709,-0.8679006875361556
Rb,bcc,5.609883843463709,6.231306797695453,-0.77130244177732
Ca,fcc,5.544802848810735,16.519414389356943,-1.9064157412592135
Sr,fcc,6.029179331260831,13.406438818574154,-1.6172331445486061
Ba,bcc,4.997924999667923,11.790422371304821,-1.8894754204005013
Al,fcc,4.036873306999515,83.3455237683721,-3.52369333148136
Pb,fcc,4.999797652341256,39.8160453222438,-2.928649966913434
Fe,bcc,2.880148942631,160.88410991503656,-4.949478458229721
V,bcc,2.979714204765164,193.87026002074137,-5.4108814326773285
Mo,bcc,3.1539116314008835,303.3958708364987,-6.239705565233285
W,bcc,3.1803489213038785,359.49658576479646,-8.291744487257246
Nb,bcc,3.3159147509254487,167.1045210459096,-6.936549524880098
Ta,bcc,3.3225145586215574,196.5194463530228,-8.30202310561585
Ni,fcc,3.521690143908326,217.34408028813954,-4.851464632263173
Cu,fcc,3.638159238315564,131.10233948479097,-3.5006490571599302
Rh,fcc,3.841013045840245,291.6291775005025,-5.8695795139535925
Ir,fcc,3.8592277743794963,426.7217258682027,-7.392012423597709
Pd,fcc,3.9587483540336046,140.06055233475448,-3.7061490898834917
Pt,fcc,3.9763541276317658,251.45036513924987,-5.54844333421004
Ag,fcc,4.1609943579761,81.35886773887063,-2.488035271988655
Au,fcc,4.16669389160716,137.9513089759654,-2.987803647809221
Th,fcc,5.0232825132043235,59.19135975045705,-6.504360511366707
LiF,rocksalt,4.100083118474161,66.35746243452914,-4.4376176874989985
LiCl,rocksalt,5.1846853876663115,38.56059517178751,-3.4073003165063858
NaF,rocksalt,4.740371724518049,31.54025346180337,-3.9400825629328424
NaCl,rocksalt,5.7129516065365555,20.452822206895426,-3.14298048775232
MgO,rocksalt,4.2558749436786725,148.8567593664689,-5.201165997948177
MgS,rocksalt,5.2144081189701845,76.86497390372423,-3.839246016839777
TiC,rocksalt,4.333123392330389,265.71724352051797,-7.481756527939945
ZrC,rocksalt,4.73276666704678,258.60492416700566,-7.91832524171425
HfC,rocksalt,4.651253994189543,270.5896121285717,-8.151550733456231
VC,rocksalt,4.158037975393008,341.69333980858966,-7.065322238966969
NbC,rocksalt,4.504561028500875,325.29077855605624,-7.9301045621260355
TiN,rocksalt,4.238353354961864,257.2993878886773,-7.017438421907811
ZrN,rocksalt,4.609754079155168,252.03892745274,-7.416222153090332
HfN,rocksalt,4.534641177237027,282.1044217336869,-7.573261351161781
VN,rocksalt,4.072390957807713,288.7966769557596,-6.292581018758883
NbN,rocksalt,4.453331235221754,309.9035884864121,-6.942434556414801
C,diamond,3.5783711633288102,402.3309996936099,-7.819973887428704
Si,diamond,5.466733199559306,87.15450811479197,-4.588358559303528
Ge,diamond,5.719971696931387,73.30250849566806,-3.83055239265747
Sn,diamond,6.590024430252304,34.950169264645815,-3.158250989004989
AlP,zincblende,5.488770772954433,97.08039854271135,-4.143950986468014
AlAs,zincblende,5.72020135454802,84.55983363361943,-3.734242345757762
AlSb,zincblende,6.2087152632702285,53.95537779416616,-3.28308473816227
BN,zincblende,3.6268833868501287,374.47245199522365,-7.013743507316681
BP,zincblende,4.52810790113103,157.90630481254922,-5.35796563821612
BAs,zincblende,4.806258581828132,173.4825717173883,-4.70541119953323
GaN,zincblende,4.536224027304567,155.4013802463028,-4.408209704676407
GaP,zincblende,5.50652613741878,79.04639591140864,-3.5199700277657104
GaAs,zincblende,5.7404681704099705,65.70138132500645,-3.176104502171797
GaSb,zincblende,6.203190752474411,49.187907431264875,-2.8536389740414396
InP,zincblende,5.979240763122546,68.82504059965655,-3.1622347809354365
InAs,zincblende,6.195161646647183,53.517433909509364,-2.9159115092587315
InSb,zincblende,6.611102353336144,40.62909709430623,-2.6549248123107203
SiC,zincblende,4.385803736891451,217.7363469898496,-6.482023116318919
ZnS,zincblende,5.4474458415094285,70.82328998995457,-2.9799578271564853
ZnSe,zincblende,5.748793514457099,57.733676276326044,-2.6272624344652873
ZnTe,zincblende,6.2056448417366745,46.59581921446726,-2.262122073597392
CdS,zincblende,5.947934312983927,51.4280345158664,-2.628384104934856
CdSe,zincblende,6.234767354490711,38.47791753949967,-2.3575067029265497
CdTe,zincblende,6.653479402942265,32.30761946405223,-2.0759855391233284
