Element,Structure,Lattice Constant (Å),Bulk Modulus (GPa),Cohesive Energy (eV/atom)
Li,bcc,3.4290132502021278,14.943689239413775,-1.6085588615289657
Na,bcc,4.229774740809728,6.101118852180158,-1.0717803042009042
K,bcc,5.439294448370148,3.226524875782063,-0.8275846205337681
Rb,bcc,6.264723313761132,0.49070056121018124,-0.7769662503913237
Ca,fcc,5.527330233893962,17.715274667468066,-1.8351775987354069
Sr,fcc,6.079455989043423,10.70856186089556,-1.5679309481185162
Ba,bcc,5.072587955604731,8.550673417290737,-1.8405488491352155
Al,fcc,4.0351090284800595,71.4012963449396,-3.532391734421846
Pb,fcc,5.022536160018039,40.95900071728579,-2.783625118234128
Fe,bcc,2.8414627951065725,176.08984583203784,-4.782968002148375
V,bcc,2.9899521895556007,193.74455680696147,-5.222434715822999
Mo,bcc,3.1513241068768796,280.77938459010494,-6.33500108489155
W,bcc,3.174549915189989,327.7496087170239,-8.297936755537238
Nb,bcc,3.305594052792916,169.13921712127754,-6.985418333985372
Ta,bcc,3.313247496897724,184.20244946640386,-8.273358460884365
Ni,fcc,3.522186638317056,206.20220390652028,-4.556900794775137
Cu,fcc,3.6328738010216908,138.3197393060006,-3.1432850821547538
Rh,fcc,3.815672958513594,276.3910557639556,-5.782007802567607
Ir,fcc,3.8536607790643567,392.66002848854436,-7.371830821224528
Pd,fcc,3.944584657356729,158.858299170924,-3.7249707927046902
Pt,fcc,3.959173346443613,254.60353705699995,-5.580557601015577
Ag,fcc,4.147640025622324,90.89511324803523,-2.3775288306951765
Au,fcc,4.153937225959133,139.71807489588392,-2.932759498050004
Th,fcc,5.0405225273428895,70.39450534883652,-6.53239226351404
LiF,rocksalt,4.0632910655125825,68.58955355340802,-4.412274722030394
LiCl,rocksalt,5.152256945329021,32.828996681166046,-3.4163082022314537
NaF,rocksalt,4.690163732112767,42.755180574265,-3.90781830240511
NaCl,rocksalt,5.680196671777247,24.373782906642727,-3.139941516826224
MgO,rocksalt,4.251927979094085,152.6455992143149,-5.155938120819981
MgS,rocksalt,5.226320420460183,76.26605502413545,-3.792209292595106
TiC,rocksalt,4.320917325132959,289.08385832525965,-7.4401867253054945
ZrC,rocksalt,4.719597371477492,250.33652015432514,-7.941786167443778
HfC,rocksalt,4.657270102091865,253.79986392194306,-8.096010635460194
VC,rocksalt,4.131071129270429,296.9079249529075,-6.990710557417357
NbC,rocksalt,4.506303241887973,313.9620385278114,-7.925087420483382
TiN,rocksalt,4.250774975657695,279.8638420697213,-6.990144714529264
ZrN,rocksalt,4.605653397255005,265.079397331698,-7.479605522456244
HfN,rocksalt,4.533201018330363,278.54617124060076,-7.552033225029568
VN,rocksalt,4.07532020832994,225.38649323046414,-6.2080074312987
NbN,rocksalt,4.453518036508909,283.7900440333421,-6.926289392037578
C,diamond,3.5616520170839787,524.4412023869322,-7.799484314372144
Si,diamond,5.423641272056813,94.7250462032489,-4.6013866190100945
Ge,diamond,5.720711820825798,63.060621917674005,-3.6909155952014965
Sn,diamond,6.630629229591546,31.62158670195118,-2.967512656068849
AlP,zincblende,5.49086127270247,85.95952372103035,-4.136656620183615
AlAs,zincblende,5.709917050724746,70.10673295489812,-3.7342822267132805
AlSb,zincblende,6.2068100460364075,54.10726189039374,-3.269468628516066
BN,zincblende,3.622304802535471,389.94743953846375,-6.922387366753391
BP,zincblende,4.521605897226893,169.8171870104836,-5.308359040184726
BAs,zincblende,4.780583489287823,148.02932630952554,-4.646597688086736
GaN,zincblende,4.541881864280493,161.4271698427791,-4.3451647969113
GaP,zincblende,5.505622795006029,80.11401186148306,-3.4307460398000815
GaAs,zincblende,5.747531802214593,64.50642550027646,-3.1114762442038533
GaSb,zincblende,6.210187553110904,49.31283378020568,-2.7911381620844598
InP,zincblende,5.960902590245592,64.0013191327192,-3.0660461563487797
InAs,zincblende,6.1931438447482785,50.64598887838542,-2.81926778876318
InSb,zincblende,6.618930997462378,38.657223985025844,-2.5634461906667525
SiC,zincblende,4.368131587088774,228.52197947929488,-6.455967768972345
ZnS,zincblende,5.456401005091372,65.39746737692076,-2.8981864785713682
ZnSe,zincblende,5.74370699309456,54.33917367731808,-2.5420736110447155
ZnTe,zincblende,6.177106354847642,42.412085702328696,-2.1628073033402258
CdS,zincblende,5.947003697639122,53.66997347621577,-2.5460577664839987
CdSe,zincblende,6.2167547459306824,41.88101180940342,-2.269936982946815
CdTe,zincblende,6.636987558122441,31.14887004986662,-1.9660757903770065
